[['08:57:01', []]
['09:04:20', [('1', 6), ('0', 22)]]
['09:10:42', [('1', 5), ('0', 15)]]
['09:17:11', [('1', 4), ('0', 16)]]
['09:23:42', [('1', 6), ('0', 19)]]
['09:29:40', [('1', 12), ('0', 19)]]
['09:36:46', [('1', 10), ('0', 9)]]
['09:44:23', [('1', 15), ('0', 12)]]
['09:51:01', [('1', 13), ('0', 8)]]
['09:58:25', [('1', 7), ('0', 14)]]
['10:05:12', [('1', 7), ('0', 16)]]
['10:11:25', [('1', 5), ('0', 7)]]
['10:19:04', [('1', 16), ('0', 12)]]
['10:28:02', [('1', 13), ('0', 13)]]
['10:37:47', [('1', 13), ('0', 18)]]
['10:46:38', [('1', 8), ('0', 20)]]
['10:55:06', [('1', 8), ('0', 13)]]
['11:04:26', [('1', 5), ('0', 12)]]
['11:15:26', [('1', 6), ('0', 15)]]
['11:26:43', [('1', 5), ('0', 8)]]
['11:38:37', [('1', 4), ('0', 14)]]
['11:51:38', [('1', 16), ('0', 11)]]
['12:04:59', [('1', 13), ('0', 12)]]
['12:17:33', [('1', 11), ('0', 11)]]
['12:29:41', [('1', 10), ('0', 9)]]
['12:44:20', [('1', 3), ('0', 19)]]
['12:59:30', [('1', 1), ('0', 13)]]
['01:15:45', [('1', 1), ('0', 17)]]
['01:32:19', [('1', 5), ('0', 20)]]
['01:44:01', [('1', 12), ('0', 22)]]
['02:02:11', [('1', 15), ('0', 88)]]
['02:23:16', [('1', 9), ('0', 15)]]
['02:37:51', [('1', 6), ('0', 8)]]
['02:55:24', [('1', 5), ('0', 22)]]
['03:13:49', [('1', 5), ('0', 38)]]
['03:31:20', [('1', 14), ('0', 25)]]
['03:46:23', [('1', 18), ('0', 18)]]
['04:00:52', [('1', 21), ('0', 9)]]
['04:14:17', [('1', 10), ('0', 13)]]
['04:26:15', [('1', 22), ('0', 7)]]
['04:36:01', [('1', 9), ('0', 11)]]
['04:46:58', [('1', 15), ('0', 5)]]
['04:56:50', [('1', 16), ('0', 10)]]
['05:04:15', [('1', 6), ('0', 12)]]
['05:13:37', [('1', 9), ('0', 16)]]
['05:22:20', [('1', 10), ('0', 7)]]
['05:28:58', [('1', 3), ('0', 4)]]
['05:34:42', [('1', 11), ('0', 5)]]
['05:41:08', [('1', 4), ('0', 12)]]
['05:47:40', [('1', 9), ('0', 9)]]
['05:53:36', [('1', 10), ('0', 12)]]
['05:59:25', [('1', 12), ('0', 7)]]
['06:05:42', [('1', 8), ('0', 9)]]
['06:11:48', [('1', 5), ('0', 12)]]]
